factory_twin_asset_id,zone,room,equipment_name,equipment_type,equipment_id,physical_asset_id,serial_number,manufacturer,model,device_id,plc_scada_mes_identifier,source_system,source_record,verification_method,verified_at,verifier_or_process,mapping_status,spatial_status,identity_confidence
EQP-F1-0148,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0149,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0150,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0151,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0152,FZ-F1-0003,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0153,,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0154,,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0155,,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0156,,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0157,,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0158,,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0159,,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0160,FZ-F1-0007,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0161,FZ-F1-0007,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0162,FZ-F1-0024,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0163,FZ-F1-0024,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0164,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0165,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0166,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0167,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0168,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0169,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0170,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0171,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0172,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0173,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0174,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0175,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0176,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0177,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0178,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0179,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0180,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0181,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0182,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0183,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0184,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0185,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0186,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0187,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0188,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0189,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0190,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0191,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0192,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0193,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0194,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0195,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0196,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0197,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0198,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0199,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0200,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0201,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0202,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0203,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0204,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0205,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0206,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0207,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0208,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0209,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0210,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0211,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0212,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0213,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0214,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0215,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0216,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0217,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0218,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0219,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0220,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0221,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0222,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0223,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0224,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0225,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0226,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0227,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0228,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0229,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0230,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0231,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0232,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0233,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0234,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0235,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0236,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0237,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0238,FZ-F1-0001,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0239,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0240,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0241,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0242,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0243,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0244,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0245,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
